item,calories,fat_g,carb_g,fiber_g,protein_g,retailer
8-Grain Roll,380,6,70,7,10,Starbucks
All Caps Donut (Regional),280,11,40,1,4,Dunkin Donuts
Almond Croissant,410,22,45,3,10,Starbucks
Ancho Chipotle Chicken Panini,500,19,57,4,26,Starbucks
Apple Crumb Donut,290,11,44,1,5,Dunkin Donuts
Apple Fritter,460,23,56,2,7,Starbucks
Apple Fritter,510,28,57,2,6,Dunkin Donuts
Apple Spice Donut,230,10,31,1,4,Dunkin Donuts
Apple Stick,470,30,44,1,4,Dunkin Donuts
Apple Streusel Donut (Regional),310,12,47,1,5,Dunkin Donuts
Bacon and Cheese Rollups,370,22,28,1,16,Dunkin Donuts
Bacon Gouda & Egg Breakfast Sandwich,370,19,32,1,18,Starbucks
"Bacon, Egg and Cheese on a Plain Bagel",520,18,67,4,23,Dunkin Donuts
"Bacon, Egg and Cheese on Croissant",560,36,41,1,18,Dunkin Donuts
"Bacon, Egg and Cheese on English Muffin",400,19,39,1,18,Dunkin Donuts
"Bacon, Egg and Cheese Wake-Up Wrap",220,13,15,0,10,Dunkin Donuts
Banana Nut Bread,420,22,52,2,6,Starbucks
Bavarian Kreme Donut,240,11,31,1,4,Dunkin Donuts
BBQ Chicken Protein Box,420,16,49,5,22,Starbucks
Berry Trio Yogurt,240,2.5,39,3,14,Starbucks
Beyond Sausage Sandwich,510,26,40,2,26,Dunkin Donuts
Beyond Sausage Wake Up Wrap,280,18,15,1,14,Dunkin Donuts
Big n Toasted (Regional),600,36,41,0,27,Dunkin Donuts
Birthday Cake Pop,170,9,23,0,1,Starbucks
Biscuit (Regional),270,14,32,1,5,Dunkin Donuts
"Biscuit, Bacon, Egg and Cheese (Regional)",490,31,35,1,17,Dunkin Donuts
Bismark,480,22,63,1,6,Dunkin Donuts
Blueberry Muffin,460,15,77,1,6,Dunkin Donuts
Blueberry Muffin with Yogurt and Honey,380,16,53,1,6,Starbucks
Blueberry Scone,420,17,61,2,5,Starbucks
Boston Kreme Donut,270,11,39,1,5,Dunkin Donuts
Burrata & Basil Pesto Small Sandwich,300,14,34,2,11,Starbucks
Butter Croissant,240,12,28,1,5,Starbucks
Butterfly Cookie,350,22,38,0,2,Starbucks
Butternut Donut,430,21,57,1,4,Dunkin Donuts
Butternut Munchkins,90,4,12,0,1,Dunkin Donuts
Cage-Free Eggs & Seasoned Grains Side Salad,360,18,33,3,17,Starbucks
"Caramel Swirl Frozen Chocolate, Large",900,17,176,1,11,Dunkin Donuts
"Caramel Swirl Frozen Chocolate, Medium",700,14,135,1,9,Dunkin Donuts
"Caramel Swirl Frozen Chocolate, Small",500,11,95,1,6,Dunkin Donuts
Cauliflower Tabbouleh Side Salad,130,12,7,3,2,Starbucks
Celebration Donut,520,37,42,1,3,Dunkin Donuts
Certified Gluten-Free Breakfast Sandwich,280,13,18,6,18,Starbucks
Cheese & Fruit Protein Box,450,27,34,4,20,Starbucks
Cheese Danish,320,16,36,1,8,Starbucks
Cherry Blossom Donut (Regional),270,11,38,1,4,Dunkin Donuts
Chewy Chocolate Cookie,170,5,30,2,2,Starbucks
Chicken & Quinoa Protein Bowl with Black Beans and Greens,420,17,42,9,27,Starbucks
Chicken Artichoke on Ancient Grain Flatbread,510,27,37,5,24,Starbucks
Chicken Biscuit (Regional),460,22,46,1,21,Dunkin Donuts
Chicken BLT Salad Sandwich,470,25,35,3,21,Starbucks
Chicken Croissant Sandwich (Regional),650,36,55,2,28,Dunkin Donuts
Chicken Wrap Protein Box,460,22,45,4,20,Starbucks
Chocolate Butternut Donut,440,23,55,2,4,Dunkin Donuts
Chocolate Cake Pop,160,8,23,1,2,Starbucks
Chocolate Chip Cookie,310,15,42,2,4,Starbucks
Chocolate Chip Cookie Dough Cake Pop,180,9,23,0,2,Starbucks
Chocolate Chip Muffin,550,21,85,2,7,Dunkin Donuts
Chocolate Chunk Muffin,440,21,60,2,7,Starbucks
Chocolate Coconut Donut (Regional),420,23,48,1,4,Dunkin Donuts
Chocolate Creme Donut,290,14,36,1,5,Dunkin Donuts
Chocolate Creme Stick (Regional),460,23,58,2,6,Dunkin Donuts
Chocolate Croissant,330,18,38,1,6,Starbucks
Chocolate Dipped French Cruller,280,15,33,0,3,Dunkin Donuts
Chocolate Frosted Cake Donut,360,20,41,1,4,Dunkin Donuts
Chocolate Frosted Donut,260,11,34,1,4,Dunkin Donuts
Chocolate Frosted with Chocolate Sprinkles Donut (Regional),270,12,36,1,5,Dunkin Donuts
Chocolate Frosted with Sprinkles Donut,270,12,36,1,4,Dunkin Donuts
Chocolate Hazelnut Croissant,390,22,43,2,7,Starbucks
Chocolate Headlight Donut,310,14,41,1,5,Dunkin Donuts
Chocolate Long John,320,15,41,1,6,Dunkin Donuts
Chocolate Marble Loaf Cake,490,24,64,2,6,Starbucks
Chonga Bagel,300,5,50,3,12,Starbucks
Cinnamon Donut,330,20,34,1,4,Dunkin Donuts
Cinnamon Morning Bun,390,15,56,2,8,Starbucks
Cinnamon Munchkins,60,3.5,6,0,1,Dunkin Donuts
Cinnamon Raisin Bagel,270,1,58,3,9,Starbucks
Cinnamon Raisin Bagel,320,1,67,4,11,Dunkin Donuts
Cinnamon Stick,430,30,34,1,4,Dunkin Donuts
Classic Coffee Cake,390,16,57,1,5,Starbucks
Classic Plain Cream Cheese Spread,120,12,3,0,2,Dunkin Donuts
Classic Whole-Grain Oatmeal,160,2.5,28,4,5,Starbucks
Coconut Donut,410,21,50,1,4,Dunkin Donuts
Coffee Cake Muffin,590,24,88,2,7,Dunkin Donuts
Coffee Roll,390,19,48,2,7,Dunkin Donuts
Cookie Butter Bar,360,23,36,0,2,Starbucks
Corn Muffin,460,16,73,1,7,Dunkin Donuts
Cranberry Orange Scone,420,15,64,1,6,Starbucks
Creme Delight Donut (Regional),330,16,44,1,5,Dunkin Donuts
Cubano Sandwich,430,23,34,3,21,Starbucks
Devil's Food Doughnut,430,23,53,2,5,Starbucks
Double Chocolate Brownie,410,24,46,3,6,Starbucks
Double Chocolate Chunk Brownie,490,28,55,3,7,Starbucks
Double Chocolate Donut,370,22,40,1,4,Dunkin Donuts
Double Chocolate Loaf Cake,440,23,54,3,5,Starbucks
Double Sausage Breakfast Sandwich,900,54,70,5,33,Dunkin Donuts
Double-Smoked Bacon Cheddar & Egg Sandwich,490,27,40,1,21,Starbucks
Dulce de Leche Donut (Regional),270,11,37,1,5,Dunkin Donuts
Eclair,370,16,50,2,6,Dunkin Donuts
Egg and Cheese DD Smart Wake-Up Wrap,180,10,14,0,7,Dunkin Donuts
Egg and Cheese on a Plain Bagel,460,13,66,4,19,Dunkin Donuts
Egg and Cheese on Croissant,500,31,40,1,15,Dunkin Donuts
Egg and Cheese on English Muffin,340,15,38,1,14,Dunkin Donuts
Egg and Cheese Wake-Up Wrap,180,10,14,0,7,Dunkin Donuts
Egg Salad Sandwich,480,27,42,7,16,Starbucks
Eggs & Cheese Protein Box,460,24,40,5,23,Starbucks
English Muffin,190,2,35,1,6,Dunkin Donuts
Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0,3,Starbucks
Everything Bagel,340,3,67,5,12,Dunkin Donuts
Everything Bagel with Cheese,290,3.5,53,2,11,Starbucks
"Extra Thick Shake, Chocolate",610,20,92,3,19,Dunkin Donuts
"Extra Thick Shake, Coffee",460,19,55,1,18,Dunkin Donuts
"Extra Thick Shake, Vanilla",450,19,54,1,18,Dunkin Donuts
Farmers' Market Protein Box,470,29,29,4,21,Starbucks
Flyers Donut (Regional),280,11,40,1,4,Dunkin Donuts
Frappuccino Cookie Straw,90,3,14,0,1,Starbucks
French Apple Donut (Regional),270,10,40,1,4,Dunkin Donuts
French Cruller,230,14,21,0,3,Dunkin Donuts
French Toast - Bantam Bagels (2 Pack),200,8,30,0,6,Starbucks
"French Vanilla Swirl Frozen Chocolate, Large",900,17,175,1,11,Dunkin Donuts
"French Vanilla Swirl Frozen Chocolate, Medium",700,14,135,1,9,Dunkin Donuts
"French Vanilla Swirl Frozen Chocolate, Small",500,11,95,1,6,Dunkin Donuts
Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,42,2,14,Starbucks
Frosted Vanilla Creme Donut,330,16,44,1,5,Dunkin Donuts
"Frozen Chocolate, Large",890,18,175,4,10,Dunkin Donuts
"Frozen Chocolate, Medium",690,15,134,3,7,Dunkin Donuts
"Frozen Chocolate, Small",490,11,94,2,5,Dunkin Donuts
Frozen Coffee Float,360,15,50,1,8,Dunkin Donuts
Garden Greens & Shaved Parmesan Side Salad,170,13,9,2,7,Starbucks
Garden Veggie Cream Cheese Spread,100,10,2,0,2,Dunkin Donuts
Glazed Blueberry Donut,350,18,44,1,4,Dunkin Donuts
Glazed Blueberry Munchkins,70,3.5,8,0,1,Dunkin Donuts
Glazed Chocolate Donut,360,22,39,1,4,Dunkin Donuts
Glazed Chocolate Munchkins,60,3.5,8,0,1,Dunkin Donuts
Glazed Chocolate Stick,410,25,42,2,4,Dunkin Donuts
Glazed Donut,240,11,33,1,4,Dunkin Donuts
Glazed Jelly Donut,280,10,44,1,4,Dunkin Donuts
Glazed Jelly Stick,530,30,61,1,4,Dunkin Donuts
Glazed Lemon Donut (Regional),270,10,40,1,4,Dunkin Donuts
Glazed Munchkins,60,3,7,0,1,Dunkin Donuts
Glazed Old Fashioned Munchkins,70,3.5,8,0,1,Dunkin Donuts
Glazed Stick,460,30,43,1,4,Dunkin Donuts
Glazed Strawberry Donut,280,10,44,1,4,Dunkin Donuts
Gluten-Free Marshmallow Dream Bar,240,5,45,0,2,Starbucks
Green Goddess Avocado Salad,620,37,62,10,13,Starbucks
Grilled Cheese (Regional),430,24,37,0,17,Dunkin Donuts
Grilled Cheese with Bacon (Regional),490,29,38,0,21,Dunkin Donuts
Grilled Cheese with Ham (Regional),460,25,38,0,22,Dunkin Donuts
Guava Donut (Regional),240,10,32,1,4,Dunkin Donuts
Ham & Cheese Croissant,320,17,28,1,14,Starbucks
Ham and Cheese Rollups,280,13,27,1,13,Dunkin Donuts
Ham and Cheese Rollups,280,13,27,1,13,Dunkin Donuts
"Ham, Egg and Cheese DD Smart Wake-Up Wrap",190,11,15,0,9,Dunkin Donuts
"Ham, Egg and Cheese on a Plain Bagel",490,14,67,4,24,Dunkin Donuts
"Ham, Egg and Cheese on Croissant",530,32,40,1,19,Dunkin Donuts
"Ham, Egg and Cheese on English Muffin",370,15,39,1,19,Dunkin Donuts
"Ham, Egg and Cheese Wake-Up Wrap",190,11,15,0,9,Dunkin Donuts
Hash Browns,130,6,12,2,5,Dunkin Donuts
"Hazelnut Swirl Frozen Chocolate, Large",900,17,176,1,11,Dunkin Donuts
"Hazelnut Swirl Frozen Chocolate, Medium",700,14,135,1,9,Dunkin Donuts
"Hazelnut Swirl Frozen Chocolate, Small",500,11,95,1,6,Dunkin Donuts
Hearty Blueberry Oatmeal,220,2.5,43,5,5,Starbucks
Herbed Chicken & Fig Spread Small Sandwich,300,8,43,2,19,Starbucks
Homestyle Chicken & Double-Smoked Bacon,480,17,57,3,23,Starbucks
Honey BBQ Sriracha Chicken Sandwich,360,7,52,3,22,Starbucks
Ice Cream Cone Sugar Cookie,250,14,29,1,3,Starbucks
Iced Lemon Pound Cake,470,20,68,1,6,Starbucks
Indy Creme Donut (Regional),330,16,44,1,5,Dunkin Donuts
Italian-Style Ham & Spicy Salami,480,20,49,3,22,Starbucks
Jelly Donut,250,10,36,1,4,Dunkin Donuts
Jelly Munchkins,60,3,8,0,1,Dunkin Donuts
Jelly Stick,500,30,52,1,4,Dunkin Donuts
Justin's Chocolate Hazelnut Butter,180,14,12,3,4,Starbucks
Justin's Classic Almond Butter,190,18,6,3,7,Starbucks
Kolache (Regional),390,23,31,1,15,Dunkin Donuts
Kosher Beyond Sausage Sandwich,510,26,39,2,27,Dunkin Donuts
Kosher Beyond Sausage Wake-Up Wrap,280,17,15,1,15,Dunkin Donuts
Kosher Big n Toasted,610,37,44,0,24,Dunkin Donuts
Kosher Dunkin Double Veggie Sausage Sandwich,600,18,74,6,37,Dunkin Donuts
Kosher Egg and Cheese on an English Muffin,340,14,38,1,14,Dunkin Donuts
Kosher Egg and Cheese Wake Up Wrap,170,10,14,0,7,Dunkin Donuts
Kosher Grilled Cheese (Regional),420,23,36,0,17,Dunkin Donuts
Kosher Grilled Cheese with Veggie Bacon (Regional),480,27,38,0,19,Dunkin Donuts
Kosher Power Breakfast Sandwich,360,16,30,6,26,Dunkin Donuts
Kosher Sweet Black Pepper Bacon Sandwich,670,43,49,2,21,Dunkin Donuts
Kosher Sweet Black Pepper Bacon Wake-Up Wrap,280,17,19,1,12,Dunkin Donuts
Kosher Tuna Melt on a Croissant,630,42,38,1,24,Dunkin Donuts
Kosher Tuna Salad on a Plain Bagel,510,17,64,4,24,Dunkin Donuts
Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,510,17,68,4,21,Dunkin Donuts
Kosher Veggie Bacon Wake-Up Wrap,200,12,15,0,8,Dunkin Donuts
Kosher Veggie Egg White Sandwich on a Multigrain Thin,290,13,27,5,17,Dunkin Donuts
Kosher Veggie Sausage Egg and Cheese on a Croissant,570,33,44,2,23,Dunkin Donuts
Kosher Veggie Sausage Wake-Up Wrap,210,11,16,1,11,Dunkin Donuts
Lemon Chiffon Yogurt,340,13,38,0,18,Starbucks
Lemon Donut,230,10,31,1,4,Dunkin Donuts
Lemon Stick,470,31,44,1,4,Dunkin Donuts
Lentils & Vegetable Protein Bowl with Brown Rice,650,29,80,21,23,Starbucks
M&M Mix-In,650,27,88,3,16,Dunkin Donuts
Maple Creme Donut,290,14,38,1,4,Dunkin Donuts
Maple Creme Stick,460,22,59,1,5,Dunkin Donuts
Maple Frosted Donut,260,11,35,1,4,Dunkin Donuts
Maple Long John Donut (Regional),320,15,42,1,5,Dunkin Donuts
Maple Vanilla Creme Donut,330,15,45,1,4,Dunkin Donuts
Marble Frosted Donut (Regional),270,11,37,1,4,Dunkin Donuts
Michigan Cherry Oat Bar,310,10,47,2,3,Starbucks
Multigrain Bagel,350,4,64,8,17,Starbucks
Multigrain Bagel,380,8,63,8,15,Dunkin Donuts
Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,300,2.5,65,6,6,Dunkin Donuts
Multigrain Thin,150,4,24,4,6,Dunkin Donuts
New Yorker Donut (Regional),330,16,44,1,5,Dunkin Donuts
Oatmeal Cookie,290,12,40,3,5,Starbucks
Octopus Cookie,330,18,39,1,3,Starbucks
Old Fashioned Donut,310,19,30,1,4,Dunkin Donuts
Old Fashioned Munchkins,60,3.5,6,0,1,Dunkin Donuts
Old-Fashioned Glazed Doughnut,480,27,56,1,5,Starbucks
OREO Mix-In,510,21,70,2,14,Dunkin Donuts
Organic Avocado (Spread),90,8,5,4,1,Starbucks
PB&J Protein Box,520,26,53,5,20,Starbucks
Peanut butter cup cookie,360,21,36,3,8,Starbucks
Peanut Donut,470,27,50,2,8,Dunkin Donuts
